Player,Squad,League,Age,Pos,Pie,Altura_cm,Valor_M€,Finaliza_Contrato,Score_DF_LG,Score_Final
Marcos Senesi,Bournemouth,Premier League,28,DF,Left,185.0,22.0,Sí,72.2844827586207,75.79681034482759
David Affengruber,Elche,La Liga,24,DF,Right,185.0,9.0,No,71.53577586206896,75.0295474137931
Malang Sarr,Lens,Ligue 1,27,DF,Left,182.0,10.0,Sí,70.42144396551726,73.95723038793105
Oumar Solet,Udinese,Serie A,26,DF,Right,192.0,20.0,No,72.27370689655173,72.2947198275862
Tiago Gabriel,Lecce,Serie A,21,DF,Right,188.0,15.0,No,68.67025862068967,70.7835129310345
Danilho Doekhi,Union Berlin,Bundesliga,27,DF,Right,190.0,13.0,Sí,67.3448275862069,70.74496551724138
Maxence Lacroix,Crystal Palace,Premier League,25,DF,Right,190.0,35.0,No,75.12931034482759,70.58405172413792
Ben Cabango,Swansea City,Championship,25,DF,Right,188.0,9.0,No,65.27047413793105,69.57473060344829
Santiago Mouriño,Villarreal,La Liga,24,DF,Right,186.0,10.0,No,64.91443965517243,69.14279094827587
Saúl Coco,Torino,Serie A,27,DF,Right,187.0,18.0,No,66.30549568965516,67.5450161637931
