Player,Squad,League,Age,Pos,Altura_cm,Pie,Finaliza_Contrato,Valor_M€,Score_DF,p_Efficiency,Score_Final
Abdelhamid Ait Boudlal,Rennes,Ligue 1,19,DF,190.0,Right,No,10.0,25.9375,51.724137931034484,28.262214439655175
Abdukodir Khusanov,Manchester City,Premier League,21,DF,186.0,Right,No,35.0,48.459051724137936,27.586206896551722,45.328125
Bastien Meupiyou,Alverca,Primeira Liga,19,DF,191.0,Left,No,4.0,61.260775862068975,98.27586206896551,60.564439655172414
Finn Jeltsch,Stuttgart,Bundesliga,19,DF,186.0,Right,No,25.0,33.04956896551724,23.275862068965516,30.45982758620689
Honest Ahanor,Atalanta,Serie A,18,DF,185.0,Left,No,25.0,42.88793103448276,33.62068965517241,39.67510775862069
Iván Fresneda,Sporting CP,Primeira Liga,21,DF,182.0,Right,No,12.0,45.140086206896555,68.96551724137932,44.10961206896552
Jacobo Ramón,Como,Serie A,21,DF,187.0,Right,No,18.0,69.79525862068965,74.56896551724138,67.5450161637931
Jérémy Jacquet,Rennes,Ligue 1,20,DF,198.0,Right,No,20.0,55.689655172413794,56.896551724137936,52.55715517241379
Leny Yoro,Manchester Utd,Premier League,20,DF,190.0,Right,No,55.0,49.4073275862069,4.310344827586207,42.64278017241379
Mamadou Sarr,Strasbourg,Ligue 1,20,DF,193.0,Right,No,25.0,32.57543103448276,21.551724137931032,28.983636853448278
Martim Fernandes,Porto,Primeira Liga,20,DF,182.0,Right,No,12.0,33.997844827586206,53.44827586206896,33.44762931034482
Noahkai Banks,Augsburg,Bundesliga,19,DF,193.0,Right,No,15.0,54.14870689655173,71.55172413793103,54.91810344827586
Nobel Mendy,Rayo Vallecano,La Liga,21,DF,187.0,Left,No,6.0,36.01293103448276,88.79310344827587,43.31773706896552
Pau Navarro,Villarreal,La Liga,20,DF,185.0,Right,No,5.0,44.7844827586207,95.6896551724138,51.658922413793114
Pietro Comuzzo,Fiorentina,Serie A,21,DF,185.0,Right,No,23.0,47.62931034482759,41.37931034482759,44.66756465517241
Samson Baidoo,Lens,Ligue 1,21,DF,190.0,Right,No,12.0,58.771551724137936,81.03448275862068,58.61408405172414
Tiago Gabriel,Lecce,Serie A,21,DF,188.0,Right,No,15.0,72.2844827586207,82.75862068965517,70.7835129310345
Tylel Tati,Nantes,Ligue 1,18,DF,188.0,Right,No,12.0,38.502155172413794,65.51724137931035,40.263539870689655
Vitor Reis,Girona,La Liga,20,DF,186.0,Right,No,30.0,56.75646551724138,38.793103448275865,53.09710129310345
Álex Valle,Como,Serie A,21,DF,182.0,Left,No,10.0,62.68318965517242,90.51724137931035,64.19426185344828
