Player,Squad,League,Age,Pos,Pie,Altura_cm,Valor_M€,Finaliza_Contrato,Score_WB_LG,Score_Final
Jordan Holsgrove,Estoril,Primeira Liga,26,MF,Left,180.0,3.5,No,62.57873170731707,73.07340487804876
Carlos Vicente,Alavés,La Liga,26,MF,Right,179.0,7.0,No,62.59092682926829,72.35023414634146
Wouter Burger,Hoffenheim,Bundesliga,25,MF,Left,191.0,9.0,No,63.402146341463414,72.04003902439024
Pep Chavarría,Rayo Vallecano,La Liga,27,DF,Left,178.0,10.0,No,62.85863414634146,71.22055609756097
Jesús Areso,Athletic Club,La Liga,26,DF,Right,183.0,10.0,No,62.44273170731708,70.78308292682927
Kévin Danois,Auxerre,Ligue 1,21,MF,Right,179.0,10.0,No,62.164829268292685,70.44220975609755
Sorba Thomas,Stoke City,Championship,26,MF,Right,185.0,7.0,No,59.41707317073171,69.98219512195122
Sergi Cardona,Villarreal,La Liga,26,DF,Left,185.0,10.0,No,61.66351219512195,69.79860487804878
David Raum,RB Leipzig,Bundesliga,27,DF,Left,180.0,20.0,No,72.07492682926829,69.3304975609756
Jordan James,Leicester City,Championship,21,MF,Right,190.0,8.0,No,58.20219512195121,68.54641463414634
