Player,Squad,League,Age,Pos,Altura_cm,Pie,Finaliza_Contrato,Valor_M€,Score_WB,p_Efficiency,Score_Final
Aaron Zehnter,Wolfsburg,Bundesliga,21,DF,181.0,Left,No,6.0,40.702439024390245,91.21951219512195,54.71789268292682
Adrián Liso,Getafe,La Liga,20,"FW,MF",184.0,Left,No,8.0,47.05853658536586,87.3170731707317,58.47727804878049
Alejandro Garnacho,Chelsea,Premier League,21,MF,180.0,Right,No,45.0,45.03414634146342,12.682926829268293,35.32878048780488
Andreas Schjelderup,Benfica,Primeira Liga,21,MF,176.0,Right,No,14.0,38.546341463414635,44.87804878048781,37.20796097560975
Antonio Nusa,RB Leipzig,Bundesliga,20,"FW,MF",180.0,Right,No,32.0,46.268292682926834,21.463414634146343,37.53131707317073
Arthur Avom,Lorient,Ligue 1,21,MF,175.0,Right,Sí,9.0,48.66341463414634,64.8780487804878,52.72729170731708
Bazoumana Touré,Hoffenheim,Bundesliga,19,"MF,FW",170.0,Right,No,25.0,48.33658536585366,34.63414634146341,42.87242926829268
Bilal El Khannouss,Stuttgart,Bundesliga,21,"MF,FW",180.0,Right,No,32.0,52.29268292682927,27.80487804878049,43.48214634146341
Chemsdine Talbi,Sunderland,Premier League,20,"MF,FW",175.0,Right,No,22.0,34.95609756097561,28.292682926829265,32.957073170731704
Dayann Methalie,Toulouse,Ligue 1,20,MF,185.0,Right,No,8.0,51.22439024390244,87.8048780487805,59.68854146341464
Diego Moreira,Strasbourg,Ligue 1,21,MF,179.0,Left,No,18.0,64.07317073170734,59.512195121951216,59.56529268292684
Diogo Travassos,Moreirense,Primeira Liga,21,"MF,FW",175.0,Right,No,2.5,51.53170731707317,98.04878048780488,61.15816585365853
Gustavo sá,Famalicão,Primeira Liga,21,MF,186.0,Right,No,16.0,52.10243902439024,51.707317073170735,47.60729756097561
Ibrahim Maza,Leverkusen,Bundesliga,20,MF,180.0,Right,No,25.0,46.16585365853659,32.19512195121951,40.68199024390244
Iván Fresneda,Sporting CP,Primeira Liga,21,DF,182.0,Right,No,12.0,54.21463414634147,66.82926829268293,53.444995121951216
Jan Virgili,Mallorca,La Liga,19,MF,178.0,Right,No,12.0,36.49268292682927,54.146341463414636,41.277882926829264
Jean Mattéo Bahoya,Eintracht Frankfurt,Bundesliga,20,"MF,FW",180.0,Right,No,25.0,37.74634146341464,24.390243902439025,32.68261463414635
Jeremy Monga,Leicester City,Championship,16,MF,182.0,Right,No,10.0,34.40487804878049,53.170731707317074,36.42212195121951
Joel Roca,Girona,La Liga,20,"MF,FW",175.0,Right,No,5.0,25.448780487804882,77.5609756097561,40.726156097560974
Johan Manzambi,Freiburg,Bundesliga,20,MF,185.0,Right,No,30.0,45.00487804878048,23.902439024390244,37.414009756097556
Jordan James,Leicester City,Championship,21,MF,190.0,Right,No,8.0,68.47317073170731,92.6829268292683,68.54641463414634
Kévin Danois,Auxerre,Ligue 1,21,MF,179.0,Right,No,10.0,66.84390243902439,89.75609756097562,70.44220975609755
Lennart Karl,Bayern Munich,Bundesliga,18,MF,183.0,Left,No,60.0,41.336585365853665,1.4634146341463417,28.217209756097564
Lewis Hall,Newcastle United,Premier League,21,DF,179.0,Left,No,32.0,65.28292682926829,37.073170731707314,56.81999999999999
Lucas Bergvall,Tottenham Hotspur,Premier League,20,MF,186.0,Right,No,40.0,33.31219512195122,5.365853658536586,24.928292682926827
Malick Fofana,Lyon,Ligue 1,20,"MF,FW",169.0,Right,No,30.0,29.102439024390243,8.292682926829269,21.43349268292683
Martim Fernandes,Porto,Primeira Liga,20,DF,182.0,Right,No,12.0,43.5609756097561,57.56097560975609,44.101853658536584
Mateus Fernandes,West Ham United,Premier League,21,MF,178.0,Right,No,32.0,57.49756097560976,32.6829268292683,50.05317073170732
Mathias De Amorim,Famalicão,Primeira Liga,21,MF,171.0,Right,No,6.0,37.297560975609755,84.39024390243902,48.29237073170731
Mert Kömür,Augsburg,Bundesliga,20,"FW,MF",183.0,Right,No,12.0,50.19024390243903,67.31707317073172,53.92296585365854
Michael Kayode,Brentford,Premier League,21,DF,179.0,Right,No,27.0,61.31707317073171,41.46341463414634,55.360975609756096
Patrick Dorgu,Manchester Utd,Premier League,21,MF,185.0,Left,No,30.0,64.89756097560976,39.51219512195122,57.281951219512194
Rodrigo Mendoza,Elche,La Liga,20,"MF,FW",185.0,Right,No,15.0,33.06829268292683,39.02439024390244,34.39216585365854
Rodrigo Mora,Porto,Primeira Liga,18,MF,170.0,Right,No,40.0,40.40975609756098,6.341463414634147,26.794848780487804
Said El Mala,Köln,Bundesliga,19,"FW,MF",186.0,Right,No,40.0,40.619512195121956,11.707317073170733,30.808507317073172
Sydie Peck,Sheffield United,Championship,21,MF,182.0,Left,No,12.0,62.98048780487805,72.6829268292683,59.27826829268293
Valentín Barco,Strasbourg,Ligue 1,21,MF,172.0,Left,No,25.0,61.326829268292684,41.951219512195124,52.509131707317074
Victor Froholdt,Porto,Primeira Liga,19,MF,180.0,Right,No,30.0,42.27804878048781,16.097560975609756,30.872546341463416
Wilson Odobert,Tottenham Hotspur,Premier League,21,"MF,FW",182.0,Right,No,22.0,37.765853658536585,30.73170731707317,35.65560975609756
Yankuba Minteh,Brighton,Premier League,21,MF,180.0,Left,No,40.0,64.39999999999999,29.268292682926827,53.86048780487804
Álex Valle,Como,Serie A,21,DF,182.0,Left,No,10.0,56.09756097560977,82.4390243902439,62.03658536585367
Óscar Perea,AVS Futebol,Primeira Liga,20,"MF,FW",180.0,Right,No,2.0,41.51707317073171,98.53658536585365,55.135492682926824
