Player,Squad,League,Age,Pos,Pie,Altura_cm,Valor_M€,Finaliza_Contrato,Score_MC_LG,Score_Final
Ylber Ramadani,Lecce,Serie A,29,MF,Right,185.0,4.0,No,61.5669585987261,72.33253980891719
Antonio Blanco,Alavés,La Liga,25,MF,Right,176.0,10.0,No,63.4284713375796,71.15152229299362
Emanuele Valeri,Parma,Serie A,27,"MF,DF",Left,176.0,2.5,No,56.40549363057325,69.38830414012739
Taichi Fukui,Arouca,Primeira Liga,21,MF,Right,173.0,2.0,No,55.208789808917196,68.64615286624203
Jordan Holsgrove,Estoril,Primeira Liga,26,MF,Left,180.0,3.5,No,55.493248407643314,68.17648407643313
Tim Iroegbunam,Everton,Premier League,22,MF,Right,182.0,12.0,No,62.49363057324841,67.63089171974522
Samir El Mourabet,Strasbourg,Ligue 1,20,MF,Right,175.0,8.0,No,57.36382165605095,67.47951592356688
Santiago Pierotti,Lecce,Serie A,24,"MF,FW",Right,189.0,5.0,No,54.32093949044586,66.49599522292993
Freddie Potts,West Ham United,Premier League,22,MF,Right,178.0,8.0,No,56.16401273885351,66.25748407643312
Aljoscha Kemlein,Union Berlin,Bundesliga,21,MF,Right,181.0,9.0,No,56.56815286624204,66.15821656050956
