Player,Squad,League,Age,Pos,Pie,Altura_cm,Valor_M€,Finaliza_Contrato,Score_TANK_LG,Score_Final
Igor Matanovic,Freiburg,Bundesliga,22,FW,Right,194.0,7.0,No,78.0,83.86829268292682
Ellis Simms,Coventry City,Championship,25,FW,Right,190.0,8.0,No,74.9969512195122,81.03445121951219
Álvaro Rodríguez,Elche,La Liga,21,FW,Left,193.0,4.0,No,63.042682926829265,74.12987804878048
Haji Wright,Coventry City,Championship,27,FW,Right,193.0,12.0,No,60.79573170731707,68.89847560975609
Nikola Krstović,Atalanta,Serie A,25,FW,Right,185.0,20.0,No,65.92073170731707,68.82743902439024
Gianluca Scamacca,Atalanta,Serie A,27,FW,Right,195.0,25.0,No,67.42682926829269,67.68658536585366
Said El Mala,Köln,Bundesliga,19,"FW,MF",Right,186.0,40.0,No,72.49756097560974,64.65073170731706
Evan Ferguson,Roma,Serie A,21,FW,Right,188.0,25.0,No,60.91006097560976,60.929725609756105
Marcus Thuram,Inter,Serie A,28,FW,Right,192.0,60.0,No,72.84298780487804,60.50228658536584
Fisnik Asllani,Hoffenheim,Bundesliga,23,"FW,MF",Right,188.0,30.0,No,63.307317073170736,60.41268292682926
